cluster_id,code,distinct_colors,config_count,extL,extA,extB,trnL,trnA,trnB,max_dE_in_cluster,mean_dE_in_cluster,max_trn_dE_in_cluster,mean_trn_dE_in_cluster,source,source_idx,stack_desc,stack_json
16,anchor_16,32,64,41.51,-1.8,-2.56,79.52,-5.19,4.92,0.8751,0.4235,1.7911,0.7843,enthermal-plus-inboard.json,396,C272 Clear 6mm / Ar90 11.55mm / SB60 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.55},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
17,anchor_17,12,34,42.17,-2.62,-7.12,79.77,-5.99,1.16,1.3685,0.4758,2.6371,0.6835,enthermal-plus-inboard.json,545,XTR6129 Clear 6mm / Ar90 11.15mm / LUMI Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.15},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
18,anchor_18,32,64,42.21,-1.98,-3.27,76.94,-7.66,5.26,0.7743,0.5395,1.5416,0.697,enthermal-plus-inboard.json,213,SB60 Clear 5mm / Ar90 12.68mm / C366 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":12.68},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
19,anchor_19,15,44,42.22,-2.0,-3.67,73.57,-9.3,5.39,1.0265,0.6465,1.1757,0.5276,enthermal-plus-inboard.json,31,C366 Clear 4mm / Ar90 13.45mm / C366 Clear 4mm / Vacuum 0.25mm / Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":13.45},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4}]"
20,anchor_20,24,64,42.27,-2.32,-0.82,79.52,-4.21,4.65,0.7181,0.5121,1.7355,0.8412,enthermal-plus-inboard.json,562,C272 Clear 6mm / Ar90 11.65mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm,"[{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.65},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":4}]"
21,anchor_21,25,50,42.31,-3.39,-5.33,75.08,-6.14,1.66,1.0115,0.4734,2.0316,0.8683,enthermal-plus-inboard.json,709,XTR6129 Clear 6mm / Ar90 11.35mm / Clear 4mm / Vacuum 0.25mm / C272 Clear 4mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.35},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C272"",""substrate"":""Clear"",""thickness"":4}]"
22,anchor_22,24,48,42.31,-1.52,-3.96,81.08,-7.01,4.9,0.5782,0.2965,1.0631,0.344,enthermal-plus-inboard.json,580,C366 Clear 6mm / Ar90 11.45mm / Clear 4mm / Vacuum 0.25mm / LUMI Clear 4mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.45},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4}]"
23,anchor_23,15,30,42.33,-2.55,-6.1,71.35,-9.28,2.44,0.9594,0.4411,1.3082,0.6402,enthermal-plus-inboard.json,2209,XTR6129 Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C366 Clear 6mm,"[{""type"":""glass"",""coating"":""XTR6129"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":7.75},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6}]"
24,anchor_24,24,64,42.4,-2.75,-1.77,76.49,-8.15,5.37,0.847,0.3912,1.3431,0.6106,enthermal-plus-outboard.json,543,C366 Clear 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.08mm / SB60 Clear 5mm,"[{""type"":""glass"",""coating"":""C366"",""substrate"":""Clear"",""thickness"":6},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":5},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":10.08},{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":5}]"
25,anchor_25,48,96,42.54,-1.42,-3.43,84.97,-4.58,4.47,0.9734,0.5368,1.779,0.7371,enthermal-plus-inboard.json,594,SB60 Clear 6mm / Ar90 11.49mm / Clear 4mm / Vacuum 0.25mm / LUMI Clear 4mm,"[{""type"":""glass"",""coating"":""SB60"",""substrate"":""Clear"",""thickness"":6},{""type"":""gas"",""gasType"":""Ar90"",""thickness"":11.49},{""type"":""glass"",""coating"":null,""substrate"":""Clear"",""thickness"":4},{""type"":""vacuum"",""thickness"":0.25},{""type"":""glass"",""coating"":""LUMI"",""substrate"":""Clear"",""thickness"":4}]"
